Date,State,Region,Confirmed,Deaths,Recovered
30-03-20,,South Korea,9661,158,5228
30-03-20,,Kuwait,266,0,72
30-03-20,,Kyrgyzstan,94,0,3
30-03-20,,Latvia,376,0,1
30-03-20,,Lebanon,446,11,35
30-03-20,,Liberia,3,0,0
30-03-20,,Liechtenstein,62,0,37
30-03-20,,Lithuania,491,7,7
30-03-20,,Luxembourg,1988,22,40
30-03-20,,Madagascar,43,0,0
30-03-20,,Malaysia,2626,37,479
30-03-20,,Maldives,17,0,13
30-03-20,,Malta,156,0,2
30-03-20,,Mauritania,5,1,2
30-03-20,,Mauritius,128,3,0
30-03-20,,Mexico,1094,28,35
30-03-20,,Moldova,298,2,15
30-03-20,,Monaco,49,1,1
30-03-20,,Mongolia,12,0,2
30-03-20,,Montenegro,91,1,0
30-03-20,,Morocco,556,33,15
30-03-20,,Namibia,11,0,2
30-03-20,,Nepal,5,0,1
30-03-20,Aruba,Netherlands,50,0,1
30-03-20,Curacao,Netherlands,11,1,2
30-03-20,Sint Maarten,Netherlands,6,0,0
30-03-20,,Netherlands,11750,864,0
30-03-20,,New Zealand,589,1,63
30-03-20,,Nicaragua,4,1,0
30-03-20,,Niger,27,3,0
30-03-20,,Nigeria,131,2,8
30-03-20,,North Macedonia,285,7,12
30-03-20,,Norway,4445,32,12
30-03-20,,Oman,179,0,29
30-03-20,,Pakistan,1938,26,76
30-03-20,,Panama,989,24,4
30-03-20,,Papua New Guinea,1,0,0
30-03-20,,Paraguay,64,3,1
30-03-20,,Peru,950,24,53
30-03-20,,Philippines,1546,78,42
30-03-20,,Poland,2055,31,7
30-03-20,,Portugal,6408,140,43
30-03-20,,Qatar,693,1,51
30-03-20,,Romania,2109,65,209
30-03-20,,Russia,1836,9,66
30-03-20,,Rwanda,70,0,0
30-03-20,,Saint Lucia,9,0,1
30-03-20,,Saint Vincent and the Grenadines,1,0,1
30-03-20,,San Marino,230,25,13
30-03-20,,Saudi Arabia,1453,8,115
30-03-20,,Senegal,162,0,27
30-03-20,,Serbia,785,16,0
30-03-20,,Seychelles,8,0,0
30-03-20,,Singapore,879,3,228
